age,gender,Eastern,Japan,Samurai,Funky,Nature,Western,Space,Mystery,Puzzle,Art
16,Male,16,10,60,10,12,29,19,35,76,60
37,Female,63,100,94,93,72,10,54,98,98,36
34,Male,61,33,81,97,96,58,89,9,35,47
27,Male,57,55,80,50,71,43,82,10,35,98
40,Male,4,82,31,71,31,35,87,54,41,12
17,Female,68,63,30,74,100,13,48,14,88,97
34,Female,97,23,58,72,99,75,35,92,78,53
35,Male,47,58,73,56,91,67,84,73,4,66
19,Female,75,85,86,90,88,1,70,10,36,78
24,Female,85,22,71,41,78,39,82,16,8,73
26,Male,7,13,75,81,81,43,84,4,41,40
34,Female,45,41,72,84,80,42,46,100,93,30
29,Female,89,90,13,79,86,38,8,34,73,87
25,Female,90,15,39,16,92,99,72,94,79,78
38,Male,81,51,21,44,49,18,86,44,74,29
35,Female,16,9,58,54,98,1,70,82,86,28
25,Female,79,34,26,71,88,65,9,9,80,89
20,Male,11,43,34,67,93,4,98,12,79,51
31,Female,68,34,99,44,84,21,77,88,77,12
28,Female,34,51,97,86,91,25,45,4,93,81
29,Female,41,87,22,89,92,42,65,89,95,95
34,Female,4,41,92,79,72,72,49,88,77,74
26,Male,63,47,74,67,70,20,100,90,13,29
39,Male,79,81,94,48,51,18,25,34,10,43
38,Female,89,85,22,36,86,82,5,87,95,6
25,Female,71,61,83,10,79,62,65,11,74,70
22,Male,81,11,11,97,81,40,75,52,76,67
38,Male,11,50,12,27,98,99,3,49,76,79
26,Female,36,71,58,60,89,6,43,24,90,80
28,Male,17,99,94,6,97,28,81,22,26,96
37,Male,78,88,77,18,95,43,38,85,93,52
34,Female,69,23,4,94,78,5,97,77,72,74
23,Female,95,14,55,39,71,63,27,10,55,92
33,Male,11,24,99,34,90,45,92,37,88,25
34,Male,2,54,86,2,77,76,92,68,90,1
39,Female,38,54,82,63,90,64,11,98,91,64
18,Female,95,49,1,96,73,18,62,96,31,77
32,Male,79,1,93,73,83,64,78,92,52,48
32,Male,10,63,83,63,78,33,92,88,65,64
34,Female,98,72,23,19,95,36,22,87,88,51
20,Female,78,99,45,76,70,45,49,55,99,70
